2025-03-27 23:54:17 INFO  consumer.consumer.KafkaConsumer - Message[title=msg, description=msg from Lera, senderName=Lera, senderAge=20] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825469973, productId=ETH-USD, price=1911.04, open24h=2025.05, volume24h=146867.68677383, low24h=1901.82, high24h=2030.69, volume30d=4800879.04864943, bestBid=1910.90, bestBidSize=0.00085873, bestAsk=1911.04, bestAskSize=0.00412240, side=buy, time=2025-03-28T10:53:09.571662Z, tradeId=626952128, lastSize=0.00146577] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470120, productId=ETH-USD, price=1911.04, open24h=2025.05, volume24h=146867.69083508, low24h=1901.82, high24h=2030.69, volume30d=4800879.05271068, bestBid=1910.90, bestBidSize=0.00100219, bestAsk=1911.04, bestAskSize=0.00152643, side=buy, time=2025-03-28T10:53:10.133521Z, tradeId=626952129, lastSize=0.00406125] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470185, productId=ETH-USD, price=1911.04, open24h=2025.05, volume24h=146867.69642276, low24h=1901.82, high24h=2030.69, volume30d=4800879.05829836, bestBid=1910.90, bestBidSize=0.00100219, bestAsk=1911.05, bestAskSize=0.86110531, side=buy, time=2025-03-28T10:53:10.472872Z, tradeId=626952130, lastSize=0.00558768] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470187, productId=ETH-USD, price=1911.05, open24h=2025.05, volume24h=146867.79108191, low24h=1901.82, high24h=2030.69, volume30d=4800879.15295751, bestBid=1910.90, bestBidSize=0.00100219, bestAsk=1911.05, bestAskSize=0.76644616, side=buy, time=2025-03-28T10:53:10.472872Z, tradeId=626952131, lastSize=0.09465915] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470240, productId=ETH-USD, price=1910.9, open24h=2025.05, volume24h=146867.79480236, low24h=1901.82, high24h=2030.69, volume30d=4800879.15667796, bestBid=1910.89, bestBidSize=2.33567080, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952132, lastSize=0.00372045] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470242, productId=ETH-USD, price=1910.89, open24h=2025.05, volume24h=146869.36426275, low24h=1901.82, high24h=2030.69, volume30d=4800880.72613835, bestBid=1910.89, bestBidSize=0.76621041, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952133, lastSize=1.56946039] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470244, productId=ETH-USD, price=1910.89, open24h=2025.05, volume24h=146870.13047316, low24h=1901.82, high24h=2030.69, volume30d=4800881.49234876, bestBid=1910.88, bestBidSize=2.61576732, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952134, lastSize=0.76621041] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470246, productId=ETH-USD, price=1910.88, open24h=2025.05, volume24h=146872.74624048, low24h=1901.82, high24h=2030.69, volume30d=4800884.10811608, bestBid=1910.82, bestBidSize=0.36336264, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952135, lastSize=2.61576732] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470248, productId=ETH-USD, price=1910.82, open24h=2025.05, volume24h=146873.10960312, low24h=1901.82, high24h=2030.69, volume30d=4800884.47147872, bestBid=1910.81, bestBidSize=1.76396256, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952136, lastSize=0.36336264] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470250, productId=ETH-USD, price=1910.81, open24h=2025.05, volume24h=146874.35022874, low24h=1901.82, high24h=2030.69, volume30d=4800885.71210434, bestBid=1910.81, bestBidSize=0.52333694, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952137, lastSize=1.24062562] ,getKafkaMessage method
